Home Assistant notifications (Log started: 2025-12-24T10:35:32.530654+00:00)
--------------------------------------------------------------------------------
2025-12-24T13:31:11.516774+00:00 ; Hue9GF ; OFF
2025-12-24T13:31:43.522828+00:00 ; Hue9L7 ; ON
2025-12-24T13:32:03.517222+00:00 ; ESPZB2light ; OFF
2025-12-24T13:32:22.515709+00:00 ; Hue9GF ; ON
2025-12-24T13:32:30.517147+00:00 ; HueWhite0475 ; ON
2025-12-24T13:33:09.522141+00:00 ; Hue9L7 ; OFF
2025-12-24T13:33:56.514660+00:00 ; HueWhite0475 ; OFF
2025-12-24T13:34:19.516133+00:00 ; Hue9L7 ; ON
2025-12-24T13:35:03.517318+00:00 ; HueWhite1549 ; ON
2025-12-24T13:36:46.527955+00:00 ; HueWhite1549 ; OFF
2025-12-24T13:37:38.515882+00:00 ; ESPZB3light ; ON
2025-12-24T13:38:28.529087+00:00 ; Hue9GF ; OFF
2025-12-24T13:38:28.537788+00:00 ; Hue9GF ; OFF
2025-12-24T13:38:46.516643+00:00 ; ESPZB3light ; OFF
2025-12-24T13:40:14.509416+00:00 ; ESPZB2light ; ON
2025-12-24T13:40:26.515273+00:00 ; ESPZB3light ; ON
2025-12-24T13:41:24.523639+00:00 ; HueWhite0475 ; ON
2025-12-24T13:42:24.512917+00:00 ; ESPZB3light ; OFF
2025-12-24T13:43:00.515069+00:00 ; HueWhite0475 ; OFF
2025-12-24T13:43:12.522831+00:00 ; HueWhite1549 ; ON
2025-12-24T13:43:53.517367+00:00 ; HueWhite0475 ; ON
2025-12-24T13:44:47.517191+00:00 ; ESPZB3light ; ON
2025-12-24T13:45:06.517115+00:00 ; Hue9L7 ; OFF
2025-12-24T13:45:39.524646+00:00 ; HueWhite1549 ; OFF
2025-12-24T13:46:51.516846+00:00 ; HueWhite0475 ; OFF
2025-12-24T13:47:41.518321+00:00 ; Hue9GF ; ON
2025-12-24T13:48:42.524881+00:00 ; Hue9L7 ; ON
2025-12-24T13:48:43.516272+00:00 ; ESPZB2light ; OFF
2025-12-24T13:49:06.512944+00:00 ; ESPZB2light ; ON
2025-12-24T13:49:37.511533+00:00 ; HueWhite0475 ; ON
2025-12-24T13:51:22.514443+00:00 ; ESPZB2light ; OFF
2025-12-24T13:52:22.521651+00:00 ; ESPZB3light ; OFF
2025-12-24T13:53:07.516627+00:00 ; ESPZB1light ; ON
2025-12-24T13:54:18.515024+00:00 ; HueWhite1549 ; ON
2025-12-24T13:54:20.522717+00:00 ; HueWhite1549 ; OFF
2025-12-24T13:54:36.516786+00:00 ; Hue9L7 ; OFF
2025-12-24T13:54:47.516126+00:00 ; Hue9L7 ; ON
2025-12-24T13:55:49.513822+00:00 ; Hue9GF ; OFF
2025-12-24T13:56:08.521944+00:00 ; HueWhite0475 ; OFF
2025-12-24T13:56:29.509462+00:00 ; Hue9GF ; ON
2025-12-24T13:57:45.510897+00:00 ; ESPZB2light ; ON
2025-12-24T13:58:01.523518+00:00 ; Hue9GF ; OFF
2025-12-24T13:58:32.516396+00:00 ; HueWhite1549 ; ON
2025-12-24T13:58:40.516304+00:00 ; Hue9GF ; ON
2025-12-24T13:59:35.514771+00:00 ; Hue9GF ; OFF
2025-12-24T13:59:59.524767+00:00 ; ESPZB2light ; OFF
2025-12-24T14:00:23.514594+00:00 ; ESPZB1light ; OFF
2025-12-24T14:00:32.515004+00:00 ; HueWhite1549 ; OFF
2025-12-24T14:00:57.517501+00:00 ; ESPZB3light ; ON
2025-12-24T14:01:46.549344+00:00 ; Hue9L7 ; OFF
2025-12-24T14:01:48.513720+00:00 ; Hue9L7 ; ON
2025-12-24T14:02:18.516578+00:00 ; HueWhite0475 ; ON
2025-12-24T14:02:42.517456+00:00 ; HueWhite0475 ; OFF
2025-12-24T14:02:56.523895+00:00 ; Hue9GF ; ON
2025-12-24T14:03:37.516109+00:00 ; Hue9GF ; OFF
2025-12-24T14:05:06.508228+00:00 ; HueWhite1549 ; ON
2025-12-24T14:05:13.523935+00:00 ; Hue9GF ; ON
2025-12-24T14:05:31.517219+00:00 ; ESPZB3light ; OFF
2025-12-24T14:06:35.509332+00:00 ; ESPZB3light ; ON
2025-12-24T14:06:38.515831+00:00 ; Hue9L7 ; OFF
2025-12-24T14:07:18.522846+00:00 ; HueWhite1549 ; OFF
2025-12-24T14:07:51.519071+00:00 ; ESPZB1light ; ON
2025-12-24T14:08:21.515901+00:00 ; Hue9GF ; OFF
